physical_path,status,workstream,metadata_records,catalogue
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/covariance-modulation/covariance_modulation_260909,live,representation,640,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/empirical/hcp-working-memory/processed/hcp_working_memory_audit_260912,live,representation,654,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/pilot/interaction_share_260908,live,representation,520,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/confirmation/interaction_share_confirmation_260908,live,representation,1200,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/controls/interaction_share_phase_260908,live,representation,1200,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/pyspi-optimisation/large-m-260917,live,pyspi-optimisation,48,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/quadratic-cml/runs/cml_param_sweep_260508,deleted,order-parameter-inference,820,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/cross-mt/data/development/cross_mt_cml_development_260824,live,representation,360,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/cross-mt/data/confirmation/cross_mt_confirmation_260824,live,representation,2520,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/proof/data/development/multi_p90_260701,live,proof,900,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_confirmation_260911,live,order-parameter-inference,1408,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_full_observation_260914,live,order-parameter-inference,680,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/hindmarsh-rose,live,order-parameter-inference,168,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/lorenz96,live,order-parameter-inference,168,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/rossler,live,order-parameter-inference,840,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/archives/zenodo/7118947/unseeded-p90-260825.tar.zst,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/zenodo/7118947/runs/authoritative-seed1729,live,zenodo,1053,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/source/neurotycho_source_f64_extra_260910,live,representation,448,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/source/neurotycho_source_f64_scout_260910,live,representation,256,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/legacy-float32-scout/neurotycho_source_scout_260910,live,representation,2,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/target/neurotycho_target_pf_260910,live,representation,256,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/pilot/oscillatory_coorganization_pilot_260909,live,representation,520,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/scout/oscillatory_coorganization_scout_260909,live,representation,96,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/transfer-faster/oscillatory_coorganization_transfer_260909,live,representation,400,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/transfer-mechanism/oscillatory_mechanism_transfer_260910,live,representation,400,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/mts-spi-study/representation/synthetic/representation-stage-b/representation_stage_b_260907,live,representation,672,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/legacy-non-p90/data/cml-embedding,live,legacy-non-p90,540,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/scratch/ql44/we2614/mts-spi-study/legacy-non-p90/data/kuramoto_explosive_260616,live,legacy-non-p90,670,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/scratch/ql44/we2614/mts-spi-study/legacy-non-p90/data/kuramoto_k_sweep_260616,live,legacy-non-p90,410,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_period_doubling_260911,live,order-parameter-inference,690,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/desai-zwanzig/runs/desai_zwanzig_T_sensitivity,live,order-parameter-inference,336,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/desai-zwanzig/runs/desai_zwanzig_fine_boundary,live,order-parameter-inference,336,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_confirmation,live,order-parameter-inference,1152,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_feature_scout,live,order-parameter-inference,72,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_final_confirmation,live,order-parameter-inference,1536,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_full_observation_260916,live,order-parameter-inference,256,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_order_benchmark,live,order-parameter-inference,880,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/kuramoto/runs/kuramoto_p90_pilot,live,order-parameter-inference,6,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/miller-huse/runs/miller_huse_confirmation,live,order-parameter-inference,216,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/miller-huse/runs/miller_huse_development,live,order-parameter-inference,288,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/quadratic-cml/runs/quadratic_cml_development,live,order-parameter-inference,1224,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/stuart-landau/runs/stuart_landau_confirmation,live,order-parameter-inference,1296,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/stuart-landau/runs/stuart_landau_development,live,order-parameter-inference,1440,configs/pyspi/benchmarked_p90.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/stuart-landau/runs/stuart_landau_locking_boundary_confirmation,live,order-parameter-inference,152,configs/pyspi/benchmarked_p90.yaml
/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260726_r1_demo.tar.zst,archived,,24,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260726_r1_nonlinear.tar.zst,archived,,4500,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260727_r0_297.tar.zst,archived,,3000,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260727_r1_probe.tar.zst,archived,,9,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/g/data/ql44/we2614/eeml-2026-application/archives/july-2026/260728_r1b_obs.tar.zst,archived,,3000,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked80_260603.tar.zst,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked90_260603.tar.zst,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/proof/legacy-v2/proof_benchmarked95_260603.tar.zst,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/order-parameter-inference/cml2d/cml2d_period_doubling_260911.tar,archived,archives,,
/scratch/ql44/we2614/mts-spi-study/legacy-non-p90/features/cml_embedding.npz,live,legacy-non-p90,1,configs/pyspi-v2/benchmarked90_amortized_config.yaml
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/desai-zwanzig/runs/desai_zwanzig_fine_boundary_analysis_nan_ci_archived_178156335,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/desai-zwanzig/runs/desai_zwanzig_fine_boundary_euler_discarded_178153797,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_confirmation_260911,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_full_observation_260914,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/operations/cml2d-full-controller-260914.TasYay,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/order-parameter-inference/vicsek/runs/vicsek_observation_260910,live,order-parameter-inference,,
/scratch/ql44/we2614/mts-spi-study/representation/cross-mt/features/cross-mt-260824,live,representation,,
/scratch/ql44/we2614/mts-spi-study/representation/empirical/hcp-working-memory/raw/hcp_working_memory_cohort_260915,live,representation,,
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915,live,order-parameter-inference,,
/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_structure_260914,live,order-parameter-inference,,
/g/data/ql44/we2614/mts-spi-study/zenodo/7118947,live,zenodo,,
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/models/neurotycho_matched_fits_260910,live,representation,,
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/models/neurotycho_neural_260910,live,representation,,
/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/analysis/neurotycho_transfer_260910,live,representation,,
/g/data/ql44/we2614/mts-spi-study/representation/baselines/inceptiontime_followup_260911,live,representation,,
/g/data/ql44/we2614/mts-spi-study/representation/cross-mt/analysis/cross-mt-260824,live,representation,,
/g/data/ql44/we2614/mts-spi-study/archives/order-parameter-inference/cml2d/cml2d_confirmation_260911_physics.tar,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/zenodo/7118947,live,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-psi-114a570.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-profile-802a9e3.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-download-1298f68.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-m32-f052e7a.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-cohort-7a315c7.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-profile-6747759.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-audit-f616caf.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-short-14f4482.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/representation/hcp-working-memory/sources/hcp-dimension-cf61964.tar.gz,archived,archives,,
/g/data/ql44/we2614/mts-spi-study/archives/operations/logs/pbs-through-20260923.tar.zst,archived,archives,,not-applicable-logs
